name;type
University of Jena;university
University of Cambridge;university
Cummins;company
University of South Alabama;university
Vanderbilt University;university
International School for Advanced Studies;university
PetroChina;company
Sogang University;university
EÃ¶tvÃ¶s LorÃ¡nd University;university
Rice University;university
Deutsche Post;company
University of Wollongong;university
Jean Monnet University;university
University of Fukui;university
University of Bologna;university
Chung Yuan Christian University;university
University of Udine;university
Newcastle University;university
New York Medical College;university
Old Dominion University;university
Georgia Institute of Technology;university
University of Massachusetts Boston;university
Free University of Berlin;university
University of Siegen;university
Qatar National Bank;company
University of Maine, Orono;university
Charles Darwin University;university
Donghua University;university
University of Central Lancashire;university
Nike;company
University of Zurich;university
City University London;university
University of Regina;university
Otto-von-Guericke University Magdeburg;university
University of Oxford;university
Stellenbosch University;university
Pusan National University;university
Vita-Salute San Raffaele University;university
Toyota Tsusho;company
University of Montpellier 2;university
University of Perpignan Via Domitia;university
Manulife;company
Mizuho Financial;company
University of A CoruÃ±a;university
KIA;company
Federal University of ParanÃ¡;university
Investor AB;company
Institut national des sciences AppliquÃ©es de Lyon;university
"University of Eastern Piedmont ""Amedeo Avogadro"",Italy,43,355,478,210,835,675,609,716,637,44.51,2014
811,""Budapest University of Technology and Economics";university
University of Connecticut;university
University of Alicante;university
Kering;company
University of Sydney;university
Bar-Ilan University;university
Pierre-and-Marie-Curie University;university
East China University of Science and Technology;university
University of South Florida - Tampa;university
University of Birmingham;university
University of Murcia;university
Aalto University;university
Temple University;university
University of Natural Resources and Life Sciences, Vienna;university
Indian Institute of Technology Madras;university
Humboldt University of Berlin;university
Autonomous University of Barcelona;university
KB Financial Group;company
University of New Orleans;university
University of Michigan, Ann Arbor;university
LG Chem;company
Saudi Arabian Oil Company (Saudi Aramco);company
Swiss Federal Institute of Technology in Lausanne;university
University of Montreal;university
Hallym University;university
Rensselaer Polytechnic Institute;university
Jilin University;university
Inditex;company
RMIT University;university
Danone;company
University of Veterinary Medicine Vienna;university
Tufts University;university
Zhejiang Normal University;university
Montana State University - Bozeman;university
Baoshan Iron & Steel;company
University of Oklahoma - Norman Campus;university
Loughborough University;university
University of Texas Health Science Center at Houston;university
Polytechnic University of Milan;university
University of North Dakota;university
Kubota;company
LinkÃ¶ping University;university
University of Oregon;university
University of Chicago;university
University of MÃ¼nster;university
Hamamatsu University School of Medicine;university
Phoenix Group Holdings;company
Swiss Federal Institute of Technology in Zurich;university
Northwestern University;university
Pennsylvania State University, University Park;university
Kurume University;university
Nanjing Normal University;university
Visa;company
Thomas Jefferson University;university
Tata Consultancy Services;company
Hannover Medical School;university
Western University (The University of Western Ontario);university
Dankook University;university
Macquarie Group;company
Georgia Regents University;university
Banco do Brasil;company
Rutgers University-New Brunswick;university
Tokyo University of Science;university
University of Naples Federico II;university
University of Oklahoma - Norman Campus;university
City University of Hong Kong;university
University of Southampton;university
Vivendi;company
Pennsylvania State University, University Park;university
National University of CÃ³rdoba;university
Concordia University;university
Yokohama City University;university
HDFC;company
Carnegie Mellon University;university
Chiang Mai University;university
Joseph Fourier University;university
Brown University;university
Cairo University;university
Moscow Institute of Physics and Technology;university
Ã…bo Akademi University;university
University of Geneva;university
Johnson & Johnson;company
AGH University of Science and Technology;university
University of Tokyo;university
University of Duisburg-Essen;university
Laval University;university
Waste Management;company
Aberystwyth University;university
Showa University;university
Swiss Federal Institute of Technology in Lausanne;university
Xidian University;university
Larsen & Toubro;company
Delft University of Technology;university
Chosun University;university
Netflix;company
Vienna University of Technology;university
Dankook University;university
Chulalongkorn University;university
Shizuoka University;university
University of Hertfordshire;university
University of Bern;university
University of Tokyo;university
Clemson University;university
Australian National University;university
Medical College of Wisconsin;university
Osaka Prefecture University;university
Soochow University (Suzhou);university
Centene;company
Tokyo University of Agriculture and Technology;university
Bangor University;university
University of Messina;university
AIA Group;company
University of Delaware;university
Humana;company
University of Konstanz;university
Softbank;company
Michigan Technological University;university
University of Warsaw;university
Sun Yat-sen University;university
Yamagata University;university
Howard University;university
Mitsui Fudosan;company
Manchester Metropolitan University;university
China University of Geosciences (Wuhan);university
SUNY Downstate Medical Center;university
Dalhousie University;university
University of Oxford;university
JPMorgan Chase;company
Bank Central Asia;company
US Bancorp;company
Henkel;company
University of Victoria;university
Sumitomo Mitsui Trust;company
University of Zaragoza;university
Hunan Normal University;university
University of Texas Southwestern Medical Center;university
Lille 2 University of Health and Law;university
University of Tsukuba;university
Catholic University of Korea;university
